Year,importer,exporter,total_import
2023,Guadeloupe,Indonesia (...2002),
2023,Guam,SIDS (Small island developing States) (UN-OHRLLS),4946845.754
2023,Guam,SIDS: Pacific,4946032.38
2023,Guam,Singapore,4681697.435
2023,Guatemala,United States of America,96343013.866
2023,Guatemala,China,62376358.8
2023,Guatemala,Mexico,36804944.494
2023,Guinea,China,15196769.403
2023,Guinea,India,5411085.908
2023,Guinea,Belgium,3759393.034
2023,Guinea-Bissau,Senegal,1518393.503
2023,Guinea-Bissau,Portugal,1392687.804
2023,Guinea-Bissau,China,548037.702
2023,Guyana,United States of America,20983765.014
2023,Guyana,SIDS (Small island developing States) (UN-OHRLLS),13782166.713
2023,Guyana,China,11614311.705
2023,Haiti,United States of America,11065135.929
2023,Haiti,SIDS (Small island developing States) (UN-OHRLLS),7400623.753
2023,Haiti,Dominican Rep.,6926107.806
2023,Honduras,United States of America,59212665.77
2023,Honduras,China,28406689.31
2023,Honduras,Guatemala,20706008.768
2023,Hungary,Germany,384673192.8
2023,Hungary,China,112947889.933
2023,Hungary,Poland,98934372.723
2023,Iceland,Norway,11440409.011
2023,Iceland,Germany,9676652.816
2023,Iceland,China,9502120.192
2023,India,China,1390818998.522
2023,India,United States of America,451482675.246
2023,India,Russia,444661640.376
2023,Indonesia,China,738737143.112
2023,Indonesia,SIDS (Small island developing States) (UN-OHRLLS),193651324.668
2023,Indonesia,SIDS: Pacific,193262650.188
2023,Indonesia (...2002),Zimbabwe,
2023,Indonesia (...2002),Zambia,
2023,Indonesia (...2002),Yemen,
2023,Iran (Islamic Republic of),United Arab Emirates,255340282.645
2023,Iran (Islamic Republic of),China,207976137.677
2023,Iran (Islamic Republic of),Turkey,83239462.012
2023,Iraq,China,187933511.61
2023,Iraq,Turkey,185040617.734
2023,Iraq,India,43719786.879
2023,Ireland,United Kingdom,311056441.449
2023,Ireland,United States of America,283139764.972
2023,Ireland,France,217486830.471
2023,Israel,China,149583431.138
2023,Israel,United States of America,118318902.729
2023,Israel,Germany,64615048.549
2023,Italy,Germany,1107717435.098
2023,Italy,China,582867463.75
2023,Italy,France,564377264.202
2023,Jamaica,United States of America,33673545.088
2023,Jamaica,China,6833926.871
2023,Jamaica,SIDS (Small island developing States) (UN-OHRLLS),6650987.548
2023,Japan,China,1913535539.588
2023,Japan,United States of America,851231093.966
2023,Japan,Australia,641596524.494
2023,Jordan,China,50922828.558
2023,Jordan,Saudi Arabia,37387731.946
2023,Jordan,United States of America,17329854.924
2023,Kazakhstan,China,191030696.653
2023,Kazakhstan,Russia,182104941.678
2023,Kazakhstan,Gambia,33400143.355
2023,Kenya,China,53109950.29
2023,Kenya,India,24268659.089
2023,Kenya,United Arab Emirates,22936073.369
2023,Kiribati,SIDS (Small island developing States) (UN-OHRLLS),997807.373
2023,Kiribati,SIDS: Pacific,994951.86
2023,Kiribati,China,621322.601
2023,Kuwait,China,82384901.271
2023,Kuwait,United Arab Emirates,50760197.268
2023,Kuwait,United States of America,38821084.532
2023,Kyrgyzstan,China,62395419.15
2023,Kyrgyzstan,Russia,23407371.098
2023,Kyrgyzstan,Kazakhstan,9538354.513
2023,Laos,Thailand,39977492.697
2023,Laos,China,25930395.653
2023,Laos,Vietnam,5245540.036
2023,Latvia,Lithuania,46795905.522
2023,Latvia,Germany,27588600.456
2023,Latvia,Poland,25279765.301
2023,Lebanon,China,25631104.029
2023,Lebanon,Switzerland,17734150.977
2023,Lebanon,Turkey,15709532.137
2023,Lesotho,South Africa,15792503.245
2023,Lesotho,China,1093747.453
2023,Lesotho,Taiwan,787518.005
2023,Liberia,China,9644271.652
2023,Liberia,Japan,2850333.907
2023,Liberia,SIDS (Small island developing States) (UN-OHRLLS),1154593.5620000002
2023,Libya,China,23863903.449
2023,Libya,Turkey,19700697.777
2023,Libya,Egypt,10986761.422
2023,Lithuania,Germany,74154453.834
2023,Lithuania,Poland,68395591.948
2023,Lithuania,Latvia,43005107.016
2023,Luxembourg,Belgium,77812376.799
2023,Luxembourg,Germany,67709867.09
2023,Luxembourg,France,31026488.602
2023,Madagascar,China,12915022.191
2023,Madagascar,France,5815984.661
2023,Madagascar,Oman,4691718.518
2023,Malawi,South Africa,6649678.677
2023,Malawi,China,5268153.255
2023,Malawi,United Arab Emirates,4774059.722
2023,Malaysia,China,645310193.447
2023,Malaysia,SIDS (Small island developing States) (UN-OHRLLS),342627830.328
2023,Malaysia,SIDS: Pacific,341861242.077
2023,Maldives,India,6370980.848
2023,Maldives,United Arab Emirates,5269508.231
2023,Maldives,Oman,4777930.857
2023,Mali,Senegal,14901640.422
2023,Mali,Cote d'Ivoire,14764348.766
2023,Mali,China,9592758.537
2023,Malta,Italy,12670538.313
2023,Malta,Saudi Arabia,11265599.174
2023,Malta,China,6606469.264
2023,Martinique,Sudan (...2011),
2023,Martinique,Indonesia (...2002),
2023,Mauritania,United Arab Emirates,11105261.373
2023,Mauritania,China,7460924.79
2023,Mauritania,Spain,5097543.49
