iso3c,country,year,gdp,gdp_forc20,gap_dollars,gap_relative
UKR,Ukraine,2019,100,100,0,0
ARE,United Arab Emirates,2019,100,100,0,0
GBR,United Kingdom,2019,100,100,0,0
USA,United States,2019,100,100,0,0
URY,Uruguay,2019,100,100,0,0
UZB,Uzbekistan,2019,100,100,0,0
VUT,Vanuatu,2019,100,100,0,0
VNM,Vietnam,2019,100,100,0,0
VIR,Virgin Islands (U.S.),2019,100,100,0,0
PSE,Palestine,2019,100,100,0,0
YEM,Yemen,2019,100,100,0,0
ZMB,Zambia,2019,100,100,0,0
ZWE,Zimbabwe,2019,100,100,0,0
AFG,Afghanistan,2020,97.64889933,103,-1181094929,-5.2
ALB,Albania,2020,96.51836963,103.4,-892388694,-6.66
DZA,Algeria,2020,94.9,101.9,-12414891928,-6.869
ASM,American Samoa,2020,105.0653595,,,
AND,Andorra,2020,88.81606006,,,
AGO,Angola,2020,94.4,101.5,-5902850193,-6.9951
ATG,Antigua and Barbuda,2020,79.80762943,103.322,-383334994,-22.8
ARG,Argentina,2020,90.05676487,98.7,-49391830896,-9
ARM,Armenia,2020,92.8,105.1,-1582701969,-11.7
ABW,Aruba,2020,81.41090022,101,-662285707,-19.395
AUS,Australia,2020,99.94911466,102.263,-34518058409,-2.26
AUT,Austria,2020,93.54603153,101.7,-33775559573,-8.02
AZE,Azerbaijan,2020,95.6999999,102.3,-3538426678,-6.452
BHS,Bahamas,2020,76.17739241,99.443,-2925595896,-23.4
BHR,Bahrain,2020,95.06414502,102.1,-2461511114,-6.89
BGD,Bangladesh,2020,103.4480215,107.2,-9675171883,-3.5
BRB,Barbados,2020,86.68897847,100.6,-669143931,-13.8
BLR,Belarus,2020,99.30039239,100.9,-943984026,-1.585
BEL,Belgium,2020,94.63861337,101.3,-32984364111,-6.58
BLZ,Belize,2020,86.59704091,102.1,-356338601,-15.18
BEN,Benin,2020,103.8485231,106.7,-404333933,-2.67
BMU,Bermuda,2020,93.16204481,,,
BTN,Bhutan,2020,89.99030074,105.6,-385707007,-14.8
BOL,Bolivia,2020,91.26211557,103,-4483077206,-11.4
BIH,Bosnia and Herzegovina,2020,96.88070948,103.4,-1199839501,-6.304923129
BWA,Botswana,2020,91.27359137,104.1,-2079380234,-12.32
BRA,Brazil,2020,96.12132367,102,-1.06973E+11,-5.763408171
BRN,Brunei,2020,101.1335733,104.702,-473845542,-3.41
BGR,Bulgaria,2020,96.0413854,103,-3997325595,-6.756
BFA,Burkina Faso,2020,101.9303249,106,-610517563,-3.84
BDI,Burundi,2020,100.3271569,102,-53662071,-1.64
CPV,Cape Verde,2020,85.21659499,105,-378876694,-18.84
KHM,Cambodia,2020,96.90399327,106.8,-2351297322,-9.27
CMR,Cameroon,2020,100.2599329,104.2,-1477606586,-4
CAN,Canada,2020,94.7669757,101.761,-1.1863E+11,-6.873
CYM,Cayman Islands,2020,94.31602438,,,
